id,user_id,code_id,game_id,difficulty,played,wins,streak_current,streak_highest
1,1,5,4,3,33,16,2,9
2,2,5,1,1,13,8,0,4
3,1,5,2,2,6,3,0,3
4,1,5,3,2,21,9,3,3
5,1,5,4,2,32,14,0,4
6,2,5,2,2,5,3,3,3
7,1,5,1,2,6,4,2,2
8,2,5,4,1,35,16,0,5
9,1,5,5,2,29,19,0,8
10,2,5,5,2,109,29,1,3
11,-1,5,1,1,1,0,0,0
12,-1,5,2,1,3,0,0,0
13,-1,5,4,1,4,1,0,1
14,1,5,4,1,14,7,1,2
15,-1,5,3,1,6,1,0,1
16,4,5,4,2,10,4,0,2
17,2,5,3,1,41,31,0,10
18,4,5,4,3,14,7,0,3
19,4,5,3,3,4,0,0,0
20,4,5,3,2,1,0,0,0
21,4,5,2,3,3,0,0,0
22,1,5,5,1,88,37,0,4
23,4,5,5,2,30,2,0,1
24,-1,5,5,2,19,3,1,1
25,4,5,5,1,13,3,0,2
26,4,5,5,3,8,1,0,1
27,2,5,1,2,2,0,0,0
28,-1,5,5,1,23,9,0,2
30,1,5,2,3,1,0,0,0
31,1,5,2,1,6,4,1,2
32,2,5,3,2,0,0,0,0
33,2,5,4,2,2,1,0,1
34,2,5,4,3,10,0,0,0
35,-1,5,2,2,1,1,1,1
36,-1,5,4,2,2,0,0,0
37,-1,5,2,3,2,0,0,0
38,-1,5,4,3,2,0,0,0
39,2,5,2,1,5,0,0,0
40,1,5,3,1,20,14,0,7
41,1,5,1,1,4,4,4,4
43,1,5,3,3,5,2,0,1
