id,name,description,code_id,created,created_by,parent,is_leaf
1331,other,other,6,1738414300248,1,,0
1332,type,type,6,1738414300248,1,,0
1333,technique,technique,6,1738414300248,1,1332,1
1334,paradigm,paradigm,6,1738414300248,1,,0
1335,node-link,node-link,6,1738414300248,1,1334,1
1336,time,time,6,1738414300248,1,,0
1337,animation,animation,6,1738414300248,1,1336,1
1338,evaluation,evaluation,6,1738414300248,1,,0
1339,case study,case study,6,1738414300248,1,1338,1
1340,application,application,6,1738414300248,1,,0
1341,document,document,6,1738414300248,1,1340,1
1342,force-directed layout,force-directed layout,6,1738414300248,1,1331,1
1343,network metrics,network metrics,6,1738414300248,1,1331,1
1344,online problem,online problem,6,1738414300248,1,1331,1
1345,special-purpose layout,special-purpose layout,6,1738414300248,1,1331,1
1346,compound graph,compound graph,6,1738414300248,1,1331,1
1347,application (type),application (type),6,1738414300248,1,1332,1
1348,infrastructure,infrastructure,6,1738414300248,1,1340,1
1349,graph difference,graph difference,6,1738414300248,1,1331,1
1350,none,none,6,1738414300248,1,1338,1
1351,timeline,timeline,6,1738414300248,1,1336,1
1352,sports,sports,6,1738414300248,1,1340,1
1354,clustering,clustering,6,1738414300248,1,1331,1
1355,superimposed node-link,superimposed node-link,6,1738414300248,1,1331,1
1356,radial,radial,6,1738414300248,1,1331,1
1357,social,social,6,1738414300248,1,1340,1
1358,expert,expert,6,1738414300248,1,1338,1
1359,directed graph,directed graph,6,1738414300248,1,1331,1
1360,evaluation (type),evaluation (type),6,1738414300248,1,1332,1
1361,taxonomy,taxonomy,6,1738414300248,1,1331,1
1362,tasks,tasks,6,1738414300248,1,1331,1
1363,generic,generic,6,1738414300248,1,1336,1
1364,evaluation framework,evaluation framework,6,1738414300248,1,1331,1
1365,generic (paradigm),generic (paradigm),6,1738414300248,1,1334,1
1366,generic (application),generic (application),6,1738414300248,1,1340,1
1367,mental map,mental map,6,1738414300248,1,1331,1
1368,user study,user study,6,1738414300248,1,1338,1
1369,survey,survey,6,1738414300248,1,1338,1
1370,aesthetic criteria,aesthetic criteria,6,1738414300248,1,1331,1
1371,juxtaposed node-link,juxtaposed node-link,6,1738414300248,1,1331,1
1372,software engineering,software engineering,6,1738414300248,1,1340,1
1373,multivariate graph,multivariate graph,6,1738414300248,1,1331,1
1374,linear arrangement,linear arrangement,6,1738414300248,1,1331,1
1375,offline problem,offline problem,6,1738414300248,1,1331,1
1376,transition problem,transition problem,6,1738414300248,1,1331,1
1377,general-purpose layout,general-purpose layout,6,1738414300248,1,1331,1
1378,matrix,matrix,6,1738414300248,1,1334,1
1379,biology,biology,6,1738414300248,1,1340,1
1380,layered matrices,layered matrices,6,1738414300248,1,1331,1
1381,weighted graph,weighted graph,6,1738414300248,1,1331,1
1382,animated timeline,animated timeline,6,1738414300248,1,1331,1
1383,bipartite,bipartite,6,1738414300248,1,1331,1
1384,time aggregation,time aggregation,6,1738414300248,1,1331,1
1385,software evolution,software evolution,6,1738414300248,1,1331,1
1386,fixed nodes,fixed nodes,6,1738414300248,1,1331,1
1387,geo,geo,6,1738414300248,1,1340,1
1388,orthogonal layout,orthogonal layout,6,1738414300248,1,1331,1
1389,ego network,ego network,6,1738414300248,1,1331,1
1390,media,media,6,1738414300248,1,1340,1
1391,gestalt laws,gestalt laws,6,1738414300248,1,1331,1
1392,sparklines,sparklines,6,1738414300248,1,1331,1
1393,intra-cell timelines,intra-cell timelines,6,1738414300248,1,1331,1
1394,algorithmic,algorithmic,6,1738414300248,1,1338,1
1396,hierarchical layout,hierarchical layout,6,1738414300248,1,1331,1
1397,business,business,6,1738414300248,1,1340,1
1398,omitted links,omitted links,6,1738414300248,1,1331,1
1399,eye tracking,eye tracking,6,1738414300248,1,1340,1
1400,program execution,program execution,6,1738414300248,1,1331,1
1401,integrated node-link,integrated node-link,6,1738414300248,1,1331,1
1402,list,list,6,1738414300248,1,1334,1
1403,planar graph,planar graph,6,1738414300248,1,1331,1
1404,theoretical,theoretical,6,1738414300248,1,1338,1
1405,map metaphor,map metaphor,6,1738414300248,1,1331,1
1406,social media,social media,6,1738414300248,1,1331,1
1407,edge bundling,edge bundling,6,1738414300248,1,1331,1
1408,acyclic graph,acyclic graph,6,1738414300248,1,1331,1
1409,3D,"merge tags: 3D,3d",6,1739105605104,1,1331,1
