item_id,alpha,code_id
582,0.2407407407407408,7
583,0.05092592592592593,7
584,0.05092592592592593,7
585,0.2407407407407408,7
586,0.05092592592592593,7
587,0.05092592592592593,7
588,0.05092592592592593,7
589,0.05092592592592593,7
590,0.2407407407407408,7
591,0.4375,7
592,0.6203703703703705,7
593,0.6203703703703705,7
594,0.05092592592592593,7
595,0.05092592592592593,7
596,0.2407407407407408,7
597,-0.13888888888888884,7
598,0.2407407407407408,7
599,0.2407407407407408,7
600,0.05092592592592593,7
601,0.6203703703703705,7
602,0.2407407407407408,7
603,0.4305555555555556,7
604,0.2407407407407408,7
605,0.4305555555555556,7
606,0.05092592592592593,7
607,0.6203703703703705,7
608,-0.125,7
609,0.2407407407407408,7
610,0.6203703703703705,7
611,0.05092592592592593,7
612,0.2407407407407408,7
613,0.2407407407407408,7
614,0.05092592592592593,7
615,0.6203703703703705,7
616,0.05092592592592593,7
617,0.2407407407407408,7
618,0.6203703703703705,7
619,0.2407407407407408,7
620,0.6203703703703705,7
621,0.4305555555555556,7
